region_name,tiles,population,area_km2,population_density_km2,pw_access_prob,sw_access_prob,either_access_prob,dense_threshold,low_access_threshold_pw,low_access_threshold_sw,is_hotspot_pw,is_hotspot_sw,hotspot_score_pw,hotspot_score_sw
Ajeromi/Ifelodun,2,787152.093061,11.410920572404867,68982.34792419615,0.572088363213501,0.6597140297573296,0.7149636245802329,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.427911636786499,0.3402859702426704
Mushin,3,870391.628973,17.441886727554923,49902.3782557849,0.5603853542613494,0.7374913079152443,0.8016980389119727,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.3180207255708405,0.18990087235418637
Oshodi/Isolo,7,967778.7143430001,38.36903645197862,25222.908986892046,0.5152327686736182,0.6310338247537405,0.676355211355389,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.17725171907760132,0.13490987966522613
Ifako/Ijaye,5,593164.159538,33.51569944427098,17698.098782759935,0.3682909104222626,0.6894100836766871,0.6894100836766871,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.16207117046232988,0.07968489309844246
Shomolu,2,386863.21951900003,18.08172238593293,21395.263750978098,0.4784627536480464,0.860044645532817,0.860044645532817,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.16175771450865584,0.04340794148493612
IbadanNorth-East,2,333290.27585,17.995184612912798,18521.081223631405,0.4209376810602063,0.940826172014439,0.940826172014439,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.15547253123963958,0.015887590193916126
IbadanSouth-East,4,398152.76826,23.23856978488452,17133.273344514415,0.4483859170837586,0.8597138186471699,0.8663298237181765,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.13700541004596048,0.034843138337613606
Kano,5,611628.466801,26.60023358360113,22993.349471113852,0.5973365759959297,0.35794917416142563,0.5973365759959297,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.13421666710351787,0.21400980774018252
Agege,1,252247.409908,16.68815428918252,15115.357009343452,0.41552199999999995,0.829424,0.829424,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.12807035277800735,0.03737647695116219
Gwale,4,563114.01774,23.549089777372682,23912.34748618914,0.6382031184567686,0.4474273034915294,0.6382031184567686,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.12541487802630744,0.19154625390267993
Dala,3,480253.48640399997,25.048465922139343,19172.970029255284,0.5650026711152529,0.3964030385700063,0.5650026711152529,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.12090326004383457,0.167763881623223
Mainland,3,388454.738273,22.820031529031734,17022.532934663406,0.5273789432070382,0.8006363805356675,0.8006363805356675,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.11662704658464795,0.0491962636881332
Alimosho,24,2057386.6431830002,147.07315945417935,13988.86547904738,0.4384452509195808,0.6710626308429651,0.6952884141349176,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.11387715959796724,0.0667048998277936
Ikeja,8,689020.847713,45.483920879146254,15148.668681043866,0.4922390848283859,0.6823581330917039,0.728864047664626,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.11150536484450975,0.06975482200619923
AbaNorth,5,283532.831503,17.948588015811147,15796.943539694164,0.545290728355126,0.5572554098989301,0.6195360519243399,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.10412833003369006,0.10138842041180261
IbadanNorth,4,402140.027734,26.20781810539824,15344.277273168647,0.5390593272388257,0.47990466405181387,0.7018600519534065,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.1025305995252665,0.11568882885865851
Kosofe,11,900184.3221420001,73.89739452784792,12181.543448095039,0.5668617477017664,0.7322181988393126,0.763032611983008,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.07648757396893674,0.04728739661097976
OnitshaSouth,4,165704.015817,16.941688460197977,9780.844229682147,0.46186201146953715,0.46125238436764393,0.5367901241947525,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.07630131473163061,0.07638775231894442
IbadanSouth-West,7,437389.954699,40.0931486157055,10909.344109922644,0.5653543664852434,0.6526712571006149,0.7354616378094567,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.06873785721382521,0.05492896211245332
Gombe,1,160719.249062,15.340759760524977,10476.615993659236,0.56048,0.07258699999999996,0.56048,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.06675160240404018,0.14084979941831569
AbaSouth,8,489216.91117000004,50.71209425097238,9646.94750622766,0.549861223883886,0.4950261503741811,0.5667654909970405,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.06295038186409076,0.07061888100287857
Apapa,7,387506.44094199996,41.817699239110176,9266.565305907192,0.5878713791156867,0.5477019754439495,0.6807373229181627,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.055362232437414664,0.06075828539334684
SokotoSouth,4,209128.39980199997,30.146043122334397,6937.175766429603,0.48732621649521357,0.15392745484839612,0.48732621649521357,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.05155678596097344,0.08508486784643636
Isu,6,214967.292097,34.96543348889306,6147.994480471274,0.4490850792325881,0.2532096512796179,0.4490850792325881,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.04909983487093356,0.06655706974554432
IdemiliNorth,13,505001.773345,87.22137319882988,5789.885607439334,0.4616245496467527,0.262764813718229,0.4616245496467527,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.04518739018312793,0.06187825614519953
Fagge,4,288969.456594,27.500498940945537,10507.789593728166,0.7036997778758416,0.4124163899707465,0.7036997778758416,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.04513416090268367,0.08950412864600342
Tarauni,4,316435.74434200005,23.794865350113724,13298.488547256591,0.7670655187000464,0.6800713694411377,0.7829177124604262,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.0449053507896337,0.06167617307114289
OnitshaNorth,4,198377.468664,28.305702120615887,7008.3924369258375,0.5758586787381065,0.5304633528992081,0.6453439414503486,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.04309144176110218,0.04770346596518884
SokotoNorth,6,340440.123442,39.5655008730629,8604.468942127798,0.6629454627971892,0.3466226688451917,0.6629454627971892,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.042042281604444814,0.08149860250610498
KadunaSouth,11,594215.336608,59.80893868410855,9935.226233430642,0.717948220446455,0.5767717732068552,0.7444613553975316,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.04062268571208293,0.060955712701809786
Nwangele,10,225967.83948200004,54.57538163757556,4140.4719985763595,0.41539303183388154,0.26144066453073195,0.4172953280665998,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.03508939394936725,0.04432995309405893
IbadanNorth-West,4,204477.725822,28.60077195372328,7149.377861298631,0.6827835248472135,0.6708394920796302,0.8182181319066724,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.03287653309783956,0.03411442084757261
Egor,16,461129.074834,107.66914733853704,4282.833905836573,0.508684867590547,0.4369675359969588,0.522002447225682,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.03050376177172301,0.034956399709223644
AbeokutaSouth,10,320998.829851,69.53190672897776,4616.56878046208,0.5442949874434307,0.7070357677581468,0.7410788416203886,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.030497563469143882,0.019606313340421753
Ojo,26,849642.9139080001,179.29481049107588,4738.803714289822,0.5603317757383762,0.7125355960147114,0.7455454774613792,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.03020339952005877,0.01974762278066472
PortHarcourt,28,750104.323748,162.29983063520552,4621.719695037623,0.5719602477500891,0.4837543407801472,0.6222352430487611,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.028678057688125445,0.03458772863625862
Dunukofia,10,166866.956875,58.480231584514065,2853.390835736489,0.32073613332304823,0.15296558029351795,0.32073613332304823,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.02809711977842239,0.035036793085091486
Kumbotso,26,505766.793043,161.81316530763598,3125.6220226669825,0.41861353573624865,0.24813815224604444,0.42390336324326355,2026.2400611853905,0.19492305269703725,0.047615032859399206,False,False,0.026342889029816217,0.03406720733723473
